"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_x"	"q_to_switch"
25	0.977727477453515	9	15	"CO2"	0.1	1
26	0.981803149367396	10	15	"CO2"	0.1	1
27	0.970010328546134	8	15	"CO2"	0.1	1
28	0.966885483139798	8	15	"CO2"	0.1	1
29	0.966535576432889	11	15	"CO2"	0.1	1
30	0.950862310431755	9	15	"CO2"	0.1	1
1	0.983236576256021	6	16	"CO2"	0.1	1
2	0.978530825407908	11	16	"CO2"	0.1	1
3	0.971252143959495	6	16	"CO2"	0.1	1
4	0.982592321372528	9	16	"CO2"	0.1	1
5	0.983987127616643	12	16	"CO2"	0.1	1
6	0.982033698053116	6	16	"CO2"	0.1	1
7	0.980359772775089	9	16	"CO2"	0.1	1
8	0.980334911921932	8	16	"CO2"	0.1	1
9	0.982413154469917	9	16	"CO2"	0.1	1
10	0.974776840335777	8	16	"CO2"	0.1	1
11	0.978643395956262	8	16	"CO2"	0.1	1
12	0.975568871759675	10	16	"CO2"	0.1	1
13	0.982666087202464	12	16	"CO2"	0.1	1
14	0.984936611365839	7	16	"CO2"	0.1	1
15	0.987227355072464	8	16	"CO2"	0.1	1
16	0.974891053888297	10	16	"CO2"	0.1	1
17	0.978405625515732	9	16	"CO2"	0.1	1
18	0.979794860226374	10	16	"CO2"	0.1	1
19	0.983466516112221	7	16	"CO2"	0.1	1
20	0.983068881971055	8	16	"CO2"	0.1	1
21	0.97068636058462	7	16	"CO2"	0.1	1
22	0.98604208700577	8	16	"CO2"	0.1	1
23	0.981506500626566	7	16	"CO2"	0.1	1
24	0.971728487817597	8	16	"CO2"	0.1	1
25	0.98748437322423	10	16	"CO2"	0.1	1
26	0.981581012831013	12	16	"CO2"	0.1	1
27	0.978077799967578	11	16	"CO2"	0.1	1
28	0.978954802259887	8	16	"CO2"	0.1	1
29	0.986387522873876	7	16	"CO2"	0.1	1
30	0.975466116949833	10	16	"CO2"	0.1	1
1	0.988137239862965	10	17	"CO2"	0.1	1
2	0.987133323346031	11	17	"CO2"	0.1	1
3	0.975659975602451	8	17	"CO2"	0.1	1
4	0.973959978362758	9	17	"CO2"	0.1	1
5	0.980978514146811	7	17	"CO2"	0.1	1
6	0.986958606250625	9	17	"CO2"	0.1	1
7	0.976129868965208	8	17	"CO2"	0.1	1
8	0.97559594591808	7	17	"CO2"	0.1	1
9	0.983445963782271	10	17	"CO2"	0.1	1
10	0.987517046699123	11	17	"CO2"	0.1	1
11	0.986786034688995	7	17	"CO2"	0.1	1
12	0.972431827687871	11	17	"CO2"	0.1	1
13	0.985627863185408	8	17	"CO2"	0.1	1
14	0.977765611941562	6	17	"CO2"	0.1	1
15	0.980784241117295	7	17	"CO2"	0.1	1
16	0.984038015288015	10	17	"CO2"	0.1	1
17	0.982736735211983	8	17	"CO2"	0.1	1
18	0.979710823376706	6	17	"CO2"	0.1	1
19	0.975000451108825	8	17	"CO2"	0.1	1
20	0.976721248700149	9	17	"CO2"	0.1	1
21	0.977160802673195	8	17	"CO2"	0.1	1
22	0.985787776412776	6	17	"CO2"	0.1	1
23	0.968240275496106	8	17	"CO2"	0.1	1
24	0.983917281485084	8	17	"CO2"	0.1	1
25	0.97948617358859	8	17	"CO2"	0.1	1
26	0.96990385723918	10	17	"CO2"	0.1	1
27	0.976900797557391	7	17	"CO2"	0.1	1
28	0.986175639738827	9	17	"CO2"	0.1	1
29	0.979798673072523	6	17	"CO2"	0.1	1
30	0.980792782941498	10	17	"CO2"	0.1	1
1	0.981144030299812	9	18	"CO2"	0.1	1
2	0.98649065255011	10	18	"CO2"	0.1	1
3	0.978469744901393	9	18	"CO2"	0.1	1
4	0.98537038622323	9	18	"CO2"	0.1	1
5	0.983660711082409	7	18	"CO2"	0.1	1
6	0.98131255012728	8	18	"CO2"	0.1	1
7	0.981206644572981	7	18	"CO2"	0.1	1
8	0.986200408692185	10	18	"CO2"	0.1	1
9	0.971788085721235	9	18	"CO2"	0.1	1
10	0.96824102796012	8	18	"CO2"	0.1	1
11	0.983940979803732	9	18	"CO2"	0.1	1
12	0.983269693482582	9	18	"CO2"	0.1	1
13	0.9745	8	18	"CO2"	0.1	1
14	0.968248766260564	7	18	"CO2"	0.1	1
