"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"prop_switch_y"
23	0.970369392675501	10	17	"CO2"	0
24	0.979155331642207	8	17	"CO2"	0
25	0.980499809979227	9	17	"CO2"	0
26	0.975783027881525	9	17	"CO2"	0
27	0.980295778105056	11	17	"CO2"	0
28	0.993168918067772	7	17	"CO2"	0
29	0.9768959815719	7	17	"CO2"	0
30	0.981708017459224	8	17	"CO2"	0
1	0.986353260869565	9	18	"CO2"	0
2	0.976619373514644	7	18	"CO2"	0
3	0.986552962232847	8	18	"CO2"	0
4	0.976634880615931	7	18	"CO2"	0
5	0.977697764594464	8	18	"CO2"	0
6	0.982883112922159	9	18	"CO2"	0
7	0.983193949821936	12	18	"CO2"	0
8	0.971125565105516	7	18	"CO2"	0
9	0.981677625457478	9	18	"CO2"	0
10	0.980820008415737	9	18	"CO2"	0
11	0.987126076608277	8	18	"CO2"	0
12	0.98532948409186	9	18	"CO2"	0
13	0.983668587896254	9	18	"CO2"	0
14	0.981350910535471	11	18	"CO2"	0
15	0.982096014492754	9	18	"CO2"	0
16	0.979303100045332	9	18	"CO2"	0
17	0.987735178638051	10	18	"CO2"	0
18	0.968794850753577	8	18	"CO2"	0
19	0.973453530587647	8	18	"CO2"	0
20	0.981263234002995	12	18	"CO2"	0
21	0.9767751429248	7	18	"CO2"	0
22	0.983509680909725	11	18	"CO2"	0
23	0.975908347946001	9	18	"CO2"	0
24	0.983770232532609	7	18	"CO2"	0
25	0.977615941381467	9	18	"CO2"	0
26	0.98255226387696	8	18	"CO2"	0
27	0.972939598189103	9	18	"CO2"	0
28	0.977658198897137	9	18	"CO2"	0
29	0.982382722243028	7	18	"CO2"	0
30	0.974300833420511	8	18	"CO2"	0
1	0.97796958879017	12	19	"CO2"	0
2	0.986248159057437	13	19	"CO2"	0
3	0.987693848861536	8	19	"CO2"	0
4	0.984419809099859	7	19	"CO2"	0
5	0.969180564404934	11	19	"CO2"	0
6	0.978501895259597	7	19	"CO2"	0
7	0.978665758051819	9	19	"CO2"	0
8	0.976113718955459	10	19	"CO2"	0
9	0.977484198641501	10	19	"CO2"	0
10	0.978153101640582	7	19	"CO2"	0
11	0.984966903826413	10	19	"CO2"	0
12	0.97717406550249	10	19	"CO2"	0
13	0.983416606403261	9	19	"CO2"	0
14	0.954199414393589	8	19	"CO2"	0
15	0.983198208725418	14	19	"CO2"	0
16	0.968424141805437	9	19	"CO2"	0
17	0.986156703524534	8	19	"CO2"	0
18	0.984946849529376	8	19	"CO2"	0
19	0.970498907998908	11	19	"CO2"	0
20	0.967880664755665	8	19	"CO2"	0
21	0.981753008840508	6	19	"CO2"	0
22	0.981156542254358	7	19	"CO2"	0
23	0.985857212357942	8	19	"CO2"	0
24	0.979871553884712	8	19	"CO2"	0
25	0.979568635392886	7	19	"CO2"	0
26	0.975316333174947	9	19	"CO2"	0
27	0.976821788684525	8	19	"CO2"	0
28	0.982269671101218	8	19	"CO2"	0
29	0.987268818732567	10	19	"CO2"	0
30	0.971072635848184	9	19	"CO2"	0
1	0.981488620818306	10	20	"CO2"	0
2	0.981593721519708	8	20	"CO2"	0
3	0.972966974277877	8	20	"CO2"	0
4	0.981418356872323	13	20	"CO2"	0
5	0.980268852792912	7	20	"CO2"	0
6	0.987164288562315	8	20	"CO2"	0
7	0.983396159467131	11	20	"CO2"	0
8	0.980021946125801	14	20	"CO2"	0
9	0.985229968826803	10	20	"CO2"	0
10	0.980109068903904	7	20	"CO2"	0
11	0.979477502025186	7	20	"CO2"	0
12	0.98728074763748	10	20	"CO2"	0
13	0.975823851298532	10	20	"CO2"	0
14	0.974233195710529	8	20	"CO2"	0
15	0.981749318608191	7	20	"CO2"	0
16	0.975068380225094	8	20	"CO2"	0
17	0.975002635417977	11	20	"CO2"	0
18	0.984543085517023	7	20	"CO2"	0
19	0.984223466992032	10	20	"CO2"	0
20	0.97416549078402	10	20	"CO2"	0
21	0.976131077768112	14	20	"CO2"	0
22	0.975591603317686	8	20	"CO2"	0
23	0.954931755355909	8	20	"CO2"	0
24	0.976408949550795	11	20	"CO2"	0
